gene,log2FC,U_stat,pvalue,qvalue,neg_log10_q,significant,direction
IL13RA2,1.0584011639003323,17036.0,1.6846775041213614e-10,3.364921646389772e-08,7.47302504405122,True,up_COPD
FAM176A,-0.3484947470171367,6729.0,1.7542718849510726e-10,3.4584217160464006e-08,7.461122050453381,False,ns
USP27X,-0.550334022078995,6734.0,1.8266790893151012e-10,3.554998535359389e-08,7.449160573861209,False,ns
RPL5,0.2008067887151732,17021.0,1.901983297079042e-10,3.5644701687588954e-08,7.448005015569483,False,ns
PCDH11Y,-0.8073200217159178,6739.0,1.9019900109978296e-10,3.5644701687588954e-08,7.448005015569483,False,ns
PLA2G7,0.9299155921979754,17024.0,1.8564432698925915e-10,3.5644701687588954e-08,7.448005015569483,False,ns
PCBP3,0.7513576341387642,16994.0,2.364201749644327e-10,4.323925609590467e-08,7.3641217864167565,False,ns
C4orf52,0.17569554588622616,16995.0,2.345259541819781e-10,4.323925609590467e-08,7.3641217864167565,False,ns
TNN,-0.6105980375937925,6776.0,2.5618460345901125e-10,4.595058148795294e-08,7.337708988403847,False,ns
RET,0.5623959511024523,16982.0,2.6032608748115627e-10,4.595058148795294e-08,7.337708988403847,False,ns
CCNB3,-0.5198590046537541,6777.0,2.58246788002433e-10,4.595058148795294e-08,7.337708988403847,False,ns
LY96,0.3771172417756077,16978.0,2.6880988636756533e-10,4.690269051792692e-08,7.328802243775869,False,ns
TMEM138,0.1745664312920603,16974.0,2.775577168788764e-10,4.7878706161606184e-08,7.319857594156753,False,ns
RS1,-0.6649768666763958,6791.0,2.8889216973116994e-10,4.927396782605797e-08,7.307382464403008,False,ns
TRNP1,-0.3989452855283844,6803.0,3.179639139107656e-10,5.304057377104859e-08,7.275391786559307,False,ns
FCRLA,1.3655312922096474,16958.0,3.154360846340531e-10,5.304057377104859e-08,7.275391786559307,True,up_COPD
CLEC4G,0.7082691989461516,16950.0,3.3621982150774065e-10,5.547627054877721e-08,7.255892742525352,False,ns
CXCR5,1.0885967258747762,16945.0,3.4988434589437105e-10,5.650259968804843e-08,7.247931569805334,True,up_COPD
ARL6IP1,0.16305001358917437,16945.0,3.498807470430657e-10,5.650259968804843e-08,7.247931569805334,False,ns
SOAT1,0.3760997408449924,16922.0,4.2004252689623443e-10,6.711837429773515e-08,7.173158571280568,False,ns
EAF2,0.4181140082822399,16919.0,4.3014889652718934e-10,6.801729426336181e-08,7.1673806483495435,False,ns
POU2AF1,1.0765848688517128,16910.0,4.619193621524053e-10,7.228799914921147e-08,7.140933795871129,True,up_COPD
TNFSF13B,0.40104817743801924,16903.0,4.882010259630935e-10,7.562134259305876e-08,7.121355616373367,False,ns
ANKS1A,-0.30592886052300017,6861.0,5.038685127512081e-10,7.725983862185191e-08,7.1120462033321825,False,ns
IGLL1,1.0039390508664674,16893.0,5.282937440079199e-10,7.940098053505173e-08,7.100174134369719,True,up_COPD
ATP8B4,0.4376693745878093,16894.0,5.241423631146624e-10,7.940098053505173e-08,7.100174134369719,False,ns
MYOZ3,-0.43055866794718867,6878.0,5.761090038910835e-10,8.573857528496714e-08,7.066823737422282,False,ns
FAM167A,-0.6654069619856067,6881.0,5.898641959445082e-10,8.693338344114208e-08,7.060813417335333,False,ns
GPC4,-0.24269235155000857,6884.0,6.039416732504213e-10,8.815225576866726e-08,7.0547665698609725,False,ns
CHEK2,0.22709837146994172,16868.0,6.431013938267287e-10,9.039147368786798e-08,7.043872533074932,False,ns
SMPD4,-0.13926128260354176,6891.0,6.380696708760005e-10,9.039147368786798e-08,7.043872533074932,False,ns
BAIAP2,-0.4355098385886951,6890.0,6.330890133062077e-10,9.039147368786798e-08,7.043872533074932,False,ns
TUFT1,-0.36247500109242203,6891.0,6.380781669825132e-10,9.039147368786798e-08,7.043872533074932,False,ns
DPYS,0.8337828101047129,16866.0,6.532725523385005e-10,9.097869123393062e-08,7.0410603149667175,False,ns
MMP1,1.4931271383485427,16863.0,6.688286228693947e-10,9.229834995597648e-08,7.034806062911463,True,up_COPD
CGNL1,-0.27350342610647616,6899.0,6.793964827490027e-10,9.291205953270145e-08,7.031927913039747,False,ns
GRM8,-1.3007394580126137,6907.0,7.233208936204738e-10,9.716824039963533e-08,7.012475661751461,True,down_COPD
FRY,-0.33846459335840073,6906.0,7.176800740704962e-10,9.716824039963533e-08,7.012475661751461,False,ns
FCRLB,0.4863457334503005,16851.0,7.347228621350267e-10,9.783414953692724e-08,7.009509525920646,False,ns
